Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Postal Code,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,42420,261.96,2,0.0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,42420,731.94,3,0.0,219.582
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,90036,14.62,2,0.0,6.8714
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,33311,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,33311,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,90032,48.86,7,0.0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,90032,7.28,4,0.0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,90032,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,90032,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,90032,114.9,5,0.0,34.47
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,90032,1706.184,9,0.2,85.3092
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,90032,911.424,4,0.2,68.3568
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,28027,15.552,3,0.2,5.4432
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,98103,407.976,3,0.2,132.5922
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,76106,68.81,5,0.8,-123.858
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,76106,2.544,3,0.8,-3.816
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,53711,665.88,6,0.0,13.3176
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,84084,55.5,2,0.0,9.99
